config,rate,latency,throughput
bv_K8x05_adj_uniform_L40,0.003,25.8283,0.0030125
bv_K8x05_adj_uniform_L40,0.005,26.687,0.00497396
bv_K8x05_adj_uniform_L40,0.007,27.6993,0.00697917
bv_K8x05_adj_uniform_L40,0.01,30.4234,0.0100396
bv_K8x05_adj_uniform_L40,0.015,37.3186,0.0149771
bv_K8x05_adj_uniform_L40,0.02,73.9292,0.0200125
bv_K8x05_adj_uniform_L40,0.025,373.317,0.0232469
bv_K8x05_adj_load_L40,0.001,24.768,0.00102604
bv_K8x05_adj_load_L40,0.003,25.8369,0.0030125
bv_K8x05_adj_load_L40,0.005,26.6903,0.00497396
bv_K8x05_adj_load_L40,0.007,27.7112,0.00697917
bv_K8x05_adj_load_L40,0.01,30.4414,0.0100396
bv_K8x05_adj_load_L40,0.015,37.3496,0.0149771
bv_K8x05_adj_load_L40,0.02,73.0301,0.0200116
bv_K8x05_adj_load_L40,0.025,391.114,0.02315
bv_K8x05_express_greedy_L40,0.001,22.8521,0.00102604
bv_K8x05_express_greedy_L40,0.003,23.7422,0.0030125
bv_K8x05_express_greedy_L40,0.005,24.4531,0.00497396
bv_K8x05_express_greedy_L40,0.007,25.3746,0.00698125
bv_K8x05_express_greedy_L40,0.01,27.5017,0.0100417
bv_K8x05_express_greedy_L40,0.015,31.9702,0.0149854
bv_K8x05_express_greedy_L40,0.02,46.2456,0.0199881
bv_K8x05_express_greedy_L40,0.025,367.647,0.0240766
